[2026-09-18T09:07:34.891+00:00] PID:2441509 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:35.393+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:35.393+00:00] PID:2441509 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:35.895+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:35.895+00:00] PID:2441509 CPU:1.99% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:36.397+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:36.398+00:00] PID:2441509 CPU:1.99% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:36.899+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:36.900+00:00] PID:2441509 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:37.402+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:37.402+00:00] PID:2441509 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:37.905+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:37.905+00:00] PID:2441509 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:38.408+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:38.408+00:00] PID:2441509 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:38.910+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:38.911+00:00] PID:2441509 CPU:1.99% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:39.412+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:39.413+00:00] PID:2441509 CPU:1.99% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:39.915+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:39.916+00:00] PID:2441509 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:40.417+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:40.418+00:00] PID:2441509 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:40.919+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:40.920+00:00] PID:2441509 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:41.422+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:41.422+00:00] PID:2441509 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:41.924+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:41.925+00:00] PID:2441509 CPU:3.98% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:42.427+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:42.428+00:00] PID:2441509 CPU:1.99% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:42.931+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:42.931+00:00] PID:2441509 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:43.433+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:43.434+00:00] PID:2441509 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:43.936+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:43.937+00:00] PID:2441509 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:44.438+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:44.439+00:00] PID:2441509 CPU:0.00% RSS_KIB:222848 MEM:1.40139% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:44.941+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:44.942+00:00] PID:2441509 CPU:3.98% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:45.444+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:45.444+00:00] PID:2441509 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:45.947+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:45.947+00:00] PID:2441509 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:46.450+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:46.450+00:00] PID:2441509 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:46.953+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:46.953+00:00] PID:2441509 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:47.455+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:47.457+00:00] PID:2441509 CPU:0.00% RSS_KIB:248448 MEM:1.56238% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:47.958+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:47.959+00:00] PID:2441509 CPU:5.96% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:48.461+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:48.462+00:00] PID:2441509 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:48.963+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:48.964+00:00] PID:2441509 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:49.466+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:49.467+00:00] PID:2441509 CPU:0.00% RSS_KIB:274048 MEM:1.72337% STATE:S THREADS:3 WCHAN:futex_wait_queue
