[2026-09-18T09:17:26.373+00:00] PID:2451259 CPU:3.98% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:26.876+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:26.876+00:00] PID:2451259 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:27.379+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:27.379+00:00] PID:2451259 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:27.882+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:27.882+00:00] PID:2451259 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:28.384+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:28.384+00:00] PID:2451259 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:28.887+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:28.887+00:00] PID:2451259 CPU:3.98% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:29.389+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:29.389+00:00] PID:2451259 CPU:5.97% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:29.891+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:29.892+00:00] PID:2451259 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:30.395+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:30.395+00:00] PID:2451259 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:30.897+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:30.898+00:00] PID:2451259 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:31.400+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:31.401+00:00] PID:2451259 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:31.903+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:31.903+00:00] PID:2451259 CPU:1.99% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:32.405+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:32.406+00:00] PID:2451259 CPU:3.98% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:32.908+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:32.908+00:00] PID:2451259 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:33.410+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:33.410+00:00] PID:2451259 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:33.912+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:33.913+00:00] PID:2451259 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:34.415+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:34.415+00:00] PID:2451259 CPU:0.00% RSS_KIB:171648 MEM:1.07942% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:34.918+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:34.918+00:00] PID:2451259 CPU:3.98% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:35.420+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:35.421+00:00] PID:2451259 CPU:5.97% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:35.922+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:35.923+00:00] PID:2451259 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:36.425+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:36.425+00:00] PID:2451259 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:36.927+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:36.927+00:00] PID:2451259 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:37.429+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:37.429+00:00] PID:2451259 CPU:0.00% RSS_KIB:197248 MEM:1.24041% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:37.931+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
